"model","Z","a","C","Q","U","R","Params","AICbp","delta","Hipotheses"
"run_43.rds",2,2,"No covariates",2,1,3,10,214.113963006787,26.681842920197,7
"run_52.rds",2,2,"No covariates",1,1,3,9,214.280761349647,26.848641263057,7
"run_28.rds",1,3,"NAO",1,1,3,9,214.433696375869,27.001576289279,1
"run_63.rds",2,3,NA,3,2,4,16,214.802858628566,27.370738541976,5
"run_236.rds",1,3,NA,1,1,3,10,215.186580787306,27.754460700716,1
"run_266.rds",2,2,"NAO",1,1,3,10,215.386147807538,27.954027720948,7
"run_58.rds",3,2,NA,6,3,4,20,215.64498311126,28.21286302467,2
"run_1.rds",1,3,"NAO",1,1,3,9,215.693270909992,28.261150823402,1
"run_248.rds",2,2,"NAO",2,1,3,11,215.999667256181,28.567547169591,7
"run_212.rds",2,2,"NAO",1,2,3,11,216.16626023287,28.73414014628,7
"run_167.rds",3,1,"NAO",6,3,3,17,216.318398339493,28.886278252903,3
"run_182.rds",1,3,NA,1,1,3,10,216.531723152552,29.099603065962,1
"run_113.rds",3,2,"Catch",6,1,4,18,216.660445464059,29.228325377469,3
"run_181.rds",1,3,NA,1,1,3,10,216.785918618644,29.353798532054,1
"run_217.rds",1,3,NA,1,1,3,10,216.795587221457,29.363467134867,1
"run_59.rds",3,2,"Catch",6,3,4,20,216.803035479129,29.370915392539,3
"run_194.rds",2,2,"NAO",2,2,3,12,216.843439428182,29.411319341592,7
"run_25.rds",2,2,"No covariates",1,2,3,10,216.874229432058,29.442109345468,7
"run_34.rds",2,2,"No covariates",3,1,3,11,217.002112537798,29.569992451208,7
"run_200.rds",1,3,NA,1,1,3,10,217.121746788995,29.689626702405,1
"run_265.rds",2,2,"NAO",1,1,3,10,217.259857922538,29.827737835948,7
"run_230.rds",2,2,"NAO",3,1,3,12,217.311241660104,29.879121573514,7
"run_99.rds",2,3,NA,1,2,4,14,217.422099705634,29.989979619044,5
"run_10.rds",1,3,"NAO",1,1,3,9,217.720851705033,30.288731618443,1
"run_235.rds",1,3,NA,1,1,3,10,217.849825685917,30.417705599327,1
"run_37.rds",1,3,"NAO",1,1,3,9,218.156115046725,30.723994960135,1
"run_57.rds",3,2,NA,6,3,4,20,218.226774266299,30.794654179709,2
"run_253.rds",1,3,NA,1,1,3,10,218.423371305927,30.991251219337,1
"run_158.rds",2,3,"Catch",1,1,4,13,218.454452790416,31.022332703826,7
"run_163.rds",1,3,NA,1,1,3,10,218.530372582898,31.098252496308,1
"run_199.rds",1,3,NA,1,1,3,10,218.624798380243,31.192678293653,1
"run_247.rds",2,2,"NAO",2,1,3,11,218.639120672825,31.207000586235,7
"run_254.rds",1,3,NA,1,1,3,10,218.710096415027,31.277976328437,1
"run_176.rds",2,2,"NAO",3,2,3,13,218.917116312701,31.484996226111,7
"run_81.rds",2,3,NA,2,2,4,15,219.464148092669,32.032028006079,5
"run_229.rds",2,2,"NAO",3,1,3,12,220.152306156838,32.720186070248,7
"run_16.rds",2,2,"No covariates",2,2,3,11,220.691191455777,33.259071369187,7
"run_110.rds",1,4,"Catch",1,1,4,12,220.717171033666,33.285050947076,1
"run_193.rds",2,2,"NAO",2,2,3,12,220.837976469008,33.405856382418,7
"run_121.rds",2,3,"Catch",3,1,4,15,220.941842570767,33.509722484177,7
"run_56.rds",1,4,"Catch",1,1,4,12,221.087710896513,33.655590809923,1
"run_211.rds",2,2,"NAO",1,2,3,11,221.468271685541,34.036151598951,7
"run_92.rds",1,4,"Catch",1,1,4,12,222.116321442377,34.684201355787,1
"run_127.rds",1,4,"Catch",1,1,4,12,222.358567190633,34.926447104043,1
"run_175.rds",2,2,"NAO",3,2,3,13,222.572470882609,35.140350796019,7
